acyear,All,PV,TT,NTT,RS,MO,G
1984,275.0,149.0,66.0,,,,
1985,338.0,267.0,81.0,,,,
1986,257.0,,,,,,
1987,240.0,,,,,,
1988,321.0,,,,,,
1989,351.0,,,,,,
1990,240.0,,32.0,,,,
1991,304.0,,30.0,,,,
1992,327.0,190.0,40.0,13.0,57.0,21.0,
1993,315.0,108.0,59.0,12.0,60.0,23.0,
1994,318.0,154.0,44.0,15.0,76.0,24.0,
1995,425.0,273.0,54.0,23.0,52.0,17.0,
1996,426.0,275.0,63.0,15.0,56.0,15.0,
1997,469.0,263.0,74.0,9.0,49.0,65.0,
1998,569.0,336.0,77.0,23.0,68.0,51.0,
1999,623.0,336.0,94.0,43.0,38.0,67.0,
2000,739.0,409.0,108.0,39.0,66.0,63.0,
2001,715.0,403.0,93.0,59.0,56.0,78.0,
2002,716.0,479.0,117.0,29.0,3.0,46.0,
2003,683.0,444.0,118.0,24.0,29.0,68.0,
2004,690.0,439.0,107.0,29.0,29.0,86.0,
2005,672.0,421.0,111.0,19.0,19.0,102.0,
2006,733.0,465.0,129.0,28.0,19.0,92.0,
2007,866.0,525.0,132.0,46.0,42.0,120.0,1.0
2008,885.0,530.0,120.0,41.0,108.0,58.0,28.0
2009,773.0,463.0,106.0,30.0,84.0,60.0,30.0
2010,870.0,542.0,118.0,28.0,86.0,53.0,43.0
2011,822.0,507.0,116.0,27.0,86.0,51.0,35.0
2012,900.0,529.0,137.0,28.0,88.0,70.0,48.0
2013,826.0,503.0,119.0,21.0,59.0,72.0,52.0
2014,878.0,512.0,127.0,36.0,94.0,67.0,42.0
2015,962.0,548.0,124.0,33.0,126.0,80.0,51.0
2016,1045.0,584.0,143.0,31.0,136.0,88.0,63.0
2017,1200.0,703.0,152.0,32.0,174.0,71.0,68.0
2018,1119.0,624.0,172.0,39.0,153.0,61.0,70.0
2019,1205.0,657.0,171.0,44.0,161.0,83.0,89.0
2020,1159.0,675.0,119.0,39.0,153.0,89.0,84.0
2021,1447.0,784.0,183.0,58.0,219.0,111.0,92.0
2022,198.0,100.0,24.0,7.0,40.0,12.0,15.0
