acyear,G,MO,NTT,PV,RS,TT,All
2003,,66.0,24.0,415.0,26.0,117.0,648.0
2004,,74.0,26.0,320.0,25.0,84.0,529.0
2005,,88.0,18.0,283.0,12.0,85.0,486.0
2006,,75.0,23.0,317.0,16.0,101.0,532.0
2007,,102.0,32.0,358.0,30.0,100.0,622.0
2008,11.0,49.0,26.0,330.0,81.0,77.0,574.0
2009,10.0,43.0,19.0,259.0,59.0,63.0,453.0
2010,14.0,39.0,21.0,285.0,64.0,66.0,489.0
2011,21.0,48.0,27.0,396.0,81.0,99.0,672.0
2012,35.0,65.0,25.0,439.0,82.0,104.0,750.0
2013,32.0,68.0,19.0,407.0,54.0,105.0,685.0
2014,31.0,66.0,30.0,423.0,90.0,109.0,749.0
2015,32.0,78.0,31.0,455.0,117.0,108.0,821.0
2016,,61.0,19.0,229.0,119.0,65.0,493.0
2017,4.0,49.0,21.0,274.0,127.0,74.0,549.0
2018,3.0,38.0,28.0,247.0,109.0,90.0,515.0
