acyear,Foreign,Government Agency,Industry,Large Academic,Other,Planetarium,Research Laboratory,Small Academic
2003,35.0,35.0,,436.0,47.0,5.0,53.0,72.0
2004,161.0,31.0,2.0,312.0,76.0,3.0,36.0,69.0
2005,186.0,44.0,1.0,254.0,81.0,2.0,36.0,68.0
2006,201.0,51.0,3.0,289.0,65.0,4.0,48.0,72.0
2007,244.0,63.0,10.0,293.0,94.0,3.0,76.0,83.0
2008,311.0,32.0,4.0,308.0,85.0,3.0,66.0,76.0
2009,320.0,30.0,5.0,234.0,64.0,2.0,69.0,49.0
2010,381.0,43.0,4.0,265.0,84.0,6.0,44.0,43.0
2011,150.0,35.0,6.0,398.0,125.0,4.0,53.0,51.0
2012,150.0,40.0,8.0,441.0,137.0,2.0,55.0,67.0
2013,141.0,44.0,6.0,406.0,119.0,1.0,68.0,41.0
2014,129.0,51.0,5.0,440.0,102.0,5.0,89.0,57.0
2015,141.0,51.0,5.0,459.0,166.0,3.0,75.0,62.0
2016,149.0,46.0,5.0,524.0,174.0,4.0,88.0,55.0
2017,151.0,87.0,7.0,612.0,156.0,3.0,109.0,75.0
2018,138.0,65.0,6.0,587.0,166.0,3.0,76.0,78.0
2019,146.0,54.0,18.0,629.0,167.0,1.0,109.0,81.0
2020,155.0,72.0,10.0,591.0,144.0,2.0,108.0,77.0
2021,190.0,94.0,16.0,716.0,168.0,5.0,136.0,122.0
2022,30.0,28.0,4.0,96.0,14.0,,10.0,16.0
